scenario_id,scenario_name,trial_id,seed,detected,mttd_sec,mitigated,mttm_sec,msr_percent,applied_loc_pref,applied_community,rib_verified,rollback_verified,failure_code,action_desc,min_trust_score
S5,Google / Rostelecom Route Leak (2017),T13,2929,False,,True,0.599,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T14,2960,False,,True,0.6,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T15,2991,False,,True,0.4,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S5,Google / Rostelecom Route Leak (2017),T16,3022,False,,True,0.406,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T17,3053,False,,True,0.404,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T18,3084,False,,True,1.021,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T19,3115,False,,True,0.576,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T20,3146,False,,True,0.604,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
S6,Cloudflare / Verizon Route Leak (2019),T01,2657,False,,True,0.402,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T02,2688,False,,True,0.405,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T03,2719,False,,True,0.594,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S6,Cloudflare / Verizon Route Leak (2019),T04,2750,False,,True,0.412,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S6,Cloudflare / Verizon Route Leak (2019),T05,2781,False,,True,0.405,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S6,Cloudflare / Verizon Route Leak (2019),T06,2812,False,,True,0.603,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T07,2843,False,,True,0.405,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
